datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/03/07 17:54:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,7,0,0.7,-17.69777,-57.13704,7.2
2020/03/07 17:54:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,7,0,0.4,-17.74347,-57.0864,5.6
2020/03/11 04:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,14,0,0.5,-17.6089,-57.09974,1.4
2020/04/09 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,0,0.2,-17.6904,-57.08043,5.3
2020/04/09 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,0,0.3,-17.69115,-57.0849,5.3
2020/04/09 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,0,0.2,-17.69237,-57.07705,9
2020/04/09 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,0,0.3,-17.69314,-57.0815,5.5
2020/04/09 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,0,0.3,-17.69406,-57.07976,5.3
2020/04/12 18:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.9,-17.02755,-57.20486,10.1
2020/04/12 18:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.02218,-57.21386,10.3
2020/04/12 18:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.01836,-57.20868,8.1
2020/04/12 18:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.02546,-57.20696,8.2
2020/04/12 18:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.9,-17.02006,-57.21605,8.1
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.4,-16.9823,-57.18369,7.2
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.01946,-57.20446,7.7
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.8,-17.01542,-57.21878,12
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.01498,-57.21456,17.3
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.8,-17.01486,-57.2178,6.2
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,1,-17.01445,-57.21357,6.2
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,6,0,0.5,-16.99899,-57.11805,12.8
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.4,-16.99395,-57.18245,4.3
2020/04/12 16:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,0,0.4,-16.98725,-57.17461,3.9
2020/04/19 17:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,12,0,-999,-17.70452,-57.41962,23
2020/04/19 17:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,12,0,-999,-17.70553,-57.41958,40.1
